data,size,algo,buildtime,querytime,params,recall
clip768v2,30M,NSG32,9275.327924728394,1.1783151626586914,"query=(search_L=113,ep=original,threads=16)",0.94547
clip768v2,30M,NSG32,9275.327924728394,0.8859953880310059,"query=(search_L=87,ep=original,threads=32)",0.9348
clip768v2,30M,NSG32,9275.327924728394,0.9347031116485596,"query=(search_L=93,ep=original,threads=32)",0.93775
clip768v2,30M,NSG32,9275.327924728394,1.4587972164154053,"query=(search_L=176,ep=original,threads=32)",0.92231
clip768v2,30M,NSG32,9275.327924728394,2.255441904067993,"query=(search_L=144,ep=kmeans,threads=64)",0.9592
clip768v2,30M,NSG32,9275.327924728394,1.1134510040283203,"query=(search_L=71,ep=kmeans,threads=16)",0.93172
clip768v2,30M,NSG32,9275.327924728394,0.8669729232788086,"query=(search_L=79,ep=original,threads=16)",0.93073
clip768v2,30M,NSG32,9275.327924728394,2.0247726440429688,"query=(search_L=120,ep=kmeans,threads=64)",0.9526
clip768v2,30M,NSG32,9275.327924728394,1.1362628936767578,"query=(search_L=109,ep=original,threads=16)",0.94436
clip768v2,30M,NSG32,9275.327924728394,0.8992221355438232,"query=(search_L=88,ep=original,threads=32)",0.93519
clip768v2,30M,NSG32,9275.327924728394,1.4553430080413818,"query=(search_L=119,ep=kmeans,threads=32)",0.95234
clip768v2,30M,NSG32,9275.327924728394,0.8574793338775635,"query=(search_L=78,ep=original,threads=32)",0.93012
clip768v2,30M,NSG32,9275.327924728394,1.2240931987762451,"query=(search_L=98,ep=kmeans,threads=32)",0.94549
clip768v2,30M,NSG32,9275.327924728394,2.2205770015716553,"query=(search_L=65,ep=kmeans,threads=64)",0.92571
clip768v2,30M,NSG32,9275.327924728394,1.363875150680542,"query=(search_L=123,ep=kmeans,threads=32)",0.95357
clip768v2,30M,NSG32,9275.327924728394,2.1712193489074707,"query=(search_L=192,ep=original,threads=64)",0.92523
clip768v2,30M,NSG32,9275.327924728394,1.9042384624481201,"query=(search_L=124,ep=kmeans,threads=64)",0.9539
clip768v2,30M,NSG32,9275.327924728394,2.4754903316497803,"query=(search_L=240,ep=original,threads=64)",0.96606
clip768v2,30M,NSG32,9275.327924728394,1.262244462966919,"query=(search_L=108,ep=kmeans,threads=32)",0.94888
clip768v2,30M,NSG32,9275.327924728394,0.7723188400268555,"query=(search_L=64,ep=original,threads=32)",0.91838
clip768v2,30M,NSG32,9275.327924728394,1.2962348461151123,"query=(search_L=126,ep=original,threads=16)",0.95011
clip768v2,30M,NSG32,9275.327924728394,1.0991182327270508,"query=(search_L=120,ep=original,threads=32)",0.94828
clip768v2,30M,NSG32,9275.327924728394,1.3008193969726562,"query=(search_L=110,ep=kmeans,threads=16)",0.94951
clip768v2,30M,NSG32,9275.327924728394,1.2921569347381592,"query=(search_L=90,ep=original,threads=64)",0.93657
clip768v2,30M,NSG32,9275.327924728394,1.2946884632110596,"query=(search_L=72,ep=original,threads=64)",0.92593
clip768v2,30M,NSG32,9275.327924728394,2.272005796432495,"query=(search_L=112,ep=kmeans,threads=64)",0.94995
clip768v2,30M,NSG32,9275.327924728394,2.0476901531219482,"query=(search_L=82,ep=kmeans,threads=64)",0.93823
clip768v2,30M,NSG32,9275.327924728394,1.0225870609283447,"query=(search_L=72,ep=kmeans,threads=16)",0.93249
clip768v2,30M,NSG32,9275.327924728394,2.1160316467285156,"query=(search_L=127,ep=kmeans,threads=64)",0.95476
clip768v2,30M,NSG32,9275.327924728394,1.8821799755096436,"query=(search_L=125,ep=kmeans,threads=64)",0.95426
clip768v2,30M,NSG32,9275.327924728394,1.5659923553466797,"query=(search_L=192,ep=original,threads=32)",0.92523
clip768v2,30M,NSG32,9275.327924728394,1.7117013931274414,"query=(search_L=208,ep=original,threads=32)",0.9284
clip768v2,30M,NSG32,9275.327924728394,2.355778694152832,"query=(search_L=240,ep=kmeans,threads=16)",0.97054
clip768v2,30M,NSG32,9275.327924728394,1.8641347885131836,"query=(search_L=72,ep=kmeans,threads=64)",0.93249
clip768v2,30M,NSG32,9275.327924728394,1.2497007846832275,"query=(search_L=101,ep=kmeans,threads=32)",0.94677
clip768v2,30M,NSG32,9275.327924728394,0.798295259475708,"query=(search_L=71,ep=original,threads=32)",0.92526
clip768v2,30M,NSG32,9275.327924728394,1.1804170608520508,"query=(search_L=88,ep=kmeans,threads=32)",0.94091
clip768v2,30M,NSG32,9275.327924728394,1.8145058155059814,"query=(search_L=91,ep=kmeans,threads=64)",0.94229
clip768v2,30M,NSG32,9275.327924728394,1.017533779144287,"query=(search_L=78,ep=original,threads=64)",0.93012
clip768v2,30M,NSG32,9275.327924728394,2.877926826477051,"query=(search_L=192,ep=kmeans,threads=64)",0.95824
clip768v2,30M,NSG32,9275.327924728394,1.0785839557647705,"query=(search_L=82,ep=kmeans,threads=16)",0.93823
clip768v2,30M,NSG32,9275.327924728394,1.0009503364562988,"query=(search_L=106,ep=original,threads=32)",0.94331
clip768v2,30M,NSG32,9275.327924728394,1.0243730545043945,"query=(search_L=96,ep=original,threads=16)",0.9394
clip768v2,30M,NSG32,9275.327924728394,1.0531675815582275,"query=(search_L=67,ep=kmeans,threads=32)",0.92803
clip768v2,30M,NSG32,9275.327924728394,1.6304681301116943,"query=(search_L=113,ep=original,threads=64)",0.94547
clip768v2,30M,NSG32,9275.327924728394,1.5396041870117188,"query=(search_L=126,ep=kmeans,threads=32)",0.95457
clip768v2,30M,NSG32,9275.327924728394,0.7881889343261719,"query=(search_L=70,ep=original,threads=32)",0.92392
clip768v2,30M,NSG32,9275.327924728394,0.9347395896911621,"query=(search_L=80,ep=original,threads=16)",0.93116
